start_node_id,end_node_id,properties.PrimaryGenre,properties.SubGenre,properties.Description
Reduced motivating secured line,Action,False,True,Ciencia ficcion
Innovative national definition,Drama,False,True,Drama
Multi-lateral 6thgeneration contingency,Action,True,False,Crimen
Ergonomic 24/7 support,Romance,False,True,Drama
Virtual optimal hub,Sci-Fi,False,True,Animacion
User-friendly local contingency,Romance,True,False,Historia
Fundamental intangible leverage,Action,True,False,Guerra
Re-engineered didactic Graphical User Interface,Drama,True,False,Suspense
Automated bandwidth-monitored alliance,Comedy,True,False,Deporte
Grass-roots intermediate project,Comedy,False,True,Documental
Enterprise-wide local data-warehouse,Sci-Fi,False,True,Crimen
Profound regional installation,Comedy,True,False,Drama
Managed motivating firmware,Drama,True,False,Suspense
Total user-facing standardization,Comedy,True,False,Accion y aventuras
Total tangible parallelism,Sci-Fi,True,False,Romance
Grass-roots mobile open system,Comedy,True,False,Historia
Reactive interactive structure,Drama,False,True,Comedia
Intuitive clear-thinking architecture,Sci-Fi,False,True,Drama
Face-to-face well-modulated flexibility,Comedy,True,False,Historia
Operative explicit open architecture,Comedy,True,False,Accion y aventuras
Visionary next generation solution,Comedy,False,True,Documental
Right-sized uniform encoding,Drama,True,False,Historia
Digitized directional focus group,Drama,False,True,Romance
Implemented system-worthy frame,Sci-Fi,False,True,Historia
Cloned clear-thinking throughput,Drama,True,False,Documental
Multi-lateral disintermediate budgetary management,Romance,False,True,Ciencia ficcion
Centralized optimal functionalities,Drama,False,True,Romance
Intuitive encompassing challenge,Sci-Fi,False,True,Guerra
Optimized motivating system engine,Drama,True,False,Comedia
Polarized secondary algorithm,Sci-Fi,True,False,Fantasia
Automated holistic encryption,Romance,True,False,Fantasia
Profit-focused system-worthy solution,Action,False,True,Documental
Profit-focused zero-defect success,Drama,False,True,Historia
Visionary impactful frame,Romance,True,False,Guerra
Multi-lateral zero tolerance structure,Sci-Fi,False,True,Drama
Virtual asymmetric policy,Comedy,False,True,Comedia
Virtual bifurcated productivity,Sci-Fi,True,False,Western
Robust motivating array,Drama,True,False,Accion y aventuras
Profound eco-centric portal,Comedy,False,True,Suspense
Multi-channeled solution-oriented service-desk,Action,True,False,Guerra
Customer-focused fault-tolerant function,Sci-Fi,True,False,Musical
Up-sized directional analyzer,Sci-Fi,False,True,Crimen
Mandatory static pricing structure,Romance,True,False,Fantasia
Streamlined dedicated structure,Sci-Fi,True,False,Comedia
Operative system-worthy hub,Action,True,False,Drama
Profit-focused discrete access,Drama,False,True,Historia
Public-key 4thgeneration knowledge user,Sci-Fi,False,True,Crimen
Profound impactful strategy,Action,False,True,Fantasia
Enterprise-wide dedicated moratorium,Sci-Fi,True,False,Animacion
Ergonomic heuristic artificial intelligence,Comedy,False,True,Familia
Implemented incremental Local Area Network,Action,True,False,Terror
Focused content-based intranet,Drama,True,False,Musical
Persistent responsive leverage,Sci-Fi,False,True,Accion y aventuras
Optional zero tolerance firmware,Sci-Fi,True,False,Familia
Visionary logistical utilization,Sci-Fi,True,False,Documental
Multi-lateral 3rdgeneration open architecture,Action,True,False,Documental
Visionary high-level conglomeration,Drama,False,True,Western
Digitized bifurcated model,Romance,True,False,Western
Customer-focused needs-based portal,Sci-Fi,True,False,Suspense
De-engineered systemic standardization,Drama,False,True,Guerra
Devolved well-modulated approach,Action,True,False,Familia
Operative bifurcated throughput,Drama,True,False,Accion y aventuras
Profound bifurcated flexibility,Action,False,True,Historia
Public-key systemic methodology,Comedy,False,True,Guerra
Visionary next generation solution,Sci-Fi,False,True,Drama
Realigned leadingedge hierarchy,Drama,False,True,Drama
Cloned clear-thinking throughput,Sci-Fi,False,True,Documental
Front-line dynamic time-frame,Sci-Fi,True,False,Accion y aventuras
Inverse clear-thinking groupware,Sci-Fi,True,False,Deporte
Universal responsive definition,Romance,True,False,Animacion
Right-sized full-range core,Comedy,False,True,Suspense
Compatible zero-defect encryption,Sci-Fi,False,True,Drama
Multi-tiered well-modulated policy,Comedy,True,False,Drama
Organic heuristic projection,Drama,True,False,Misterio
Function-based asynchronous budgetary management,Action,False,True,Fantasia
Organized disintermediate challenge,Sci-Fi,False,True,Deporte
Advanced 3rdgeneration migration,Romance,False,True,Terror
Sharable asynchronous info-mediaries,Romance,False,True,Documental
Innovative executive toolset,Sci-Fi,False,True,Romance
Cross-group hybrid architecture,Action,False,True,Animacion
Stand-alone methodical interface,Comedy,True,False,Misterio
Function-based transitional open architecture,Action,True,False,Romance
Mandatory systematic firmware,Romance,False,True,Romance
Self-enabling encompassing Graphic Interface,Comedy,False,True,Guerra
Innovative national definition,Action,False,True,Deporte
Virtual clear-thinking approach,Comedy,True,False,Guerra
Fundamental human-resource synergy,Comedy,False,True,Crimen
Organized neutral ability,Sci-Fi,False,True,Fantasia
Future-proofed exuding definition,Action,False,True,Fantasia
Enterprise-wide directional intranet,Comedy,False,True,Musical
Adaptive reciprocal analyzer,Action,True,False,Drama
Cloned cohesive collaboration,Action,True,False,Deporte
Secured non-volatile extranet,Action,False,True,Misterio
Upgradable encompassing middleware,Romance,True,False,Fantasia
Ergonomic heuristic artificial intelligence,Sci-Fi,True,False,Fantasia
Organic scalable artificial intelligence,Sci-Fi,True,False,Suspense
Centralized encompassing encoding,Action,True,False,Guerra
Devolved dynamic projection,Action,True,False,Ciencia ficcion
Ameliorated mission-critical Internet solution,Romance,False,True,Romance
Phased tangible intranet,Romance,True,False,Terror
Customizable stable ability,Sci-Fi,False,True,Romance
Distributed logistical alliance,Sci-Fi,False,True,Fantasia
Realigned responsive approach,Drama,False,True,Western
Fundamental bifurcated array,Romance,False,True,Misterio
Balanced client-server encryption,Action,False,True,Familia
Stand-alone uniform capability,Comedy,True,False,Western
Balanced tertiary support,Romance,False,True,Terror
Extended zero-defect adapter,Drama,False,True,Documental
Proactive clear-thinking initiative,Action,False,True,Fantasia
Assimilated human-resource strategy,Action,False,True,Western
Virtual disintermediate moderator,Romance,False,True,Western
Optional hybrid website,Romance,True,False,Suspense
Multi-layered optimal model,Drama,False,True,Misterio
User-centric well-modulated array,Romance,False,True,Romance
Right-sized tangible customer loyalty,Action,True,False,Comedia
Face-to-face background conglomeration,Drama,True,False,Western
Organized actuating functionalities,Sci-Fi,True,False,Ciencia ficcion
Multi-layered 24/7 Graphic Interface,Romance,True,False,Accion y aventuras
Down-sized contextually-based projection,Action,True,False,Accion y aventuras
Up-sized directional analyzer,Comedy,True,False,Suspense
Secured transitional architecture,Drama,False,True,Western
Extended solution-oriented analyzer,Drama,True,False,Animacion
Advanced 3rdgeneration migration,Sci-Fi,True,False,Guerra
Front-line demand-driven system engine,Sci-Fi,True,False,Animacion
Optimized asynchronous success,Romance,False,True,Guerra
Focused clear-thinking monitoring,Romance,False,True,Misterio
Intuitive methodical alliance,Romance,True,False,Animacion
Multi-lateral 24/7 contingency,Comedy,False,True,Historia
Horizontal 3rdgeneration hardware,Sci-Fi,True,False,Accion y aventuras
De-engineered full-range framework,Drama,False,True,Misterio
Progressive next generation matrices,Sci-Fi,False,True,Deporte
Open-architected incremental secured line,Sci-Fi,False,True,Accion y aventuras
Streamlined multi-tasking framework,Romance,True,False,Comedia
Face-to-face cohesive forecast,Comedy,False,True,Musical
Implemented holistic array,Romance,True,False,Guerra
Compatible demand-driven help-desk,Comedy,True,False,Terror
Assimilated multimedia parallelism,Comedy,True,False,Deporte
Mandatory high-level policy,Sci-Fi,False,True,Guerra
Diverse zero tolerance synergy,Sci-Fi,True,False,Animacion
Balanced motivating interface,Comedy,False,True,Deporte
Automated tangible orchestration,Drama,False,True,Historia
Visionary high-level conglomeration,Action,False,True,Misterio
Decentralized empowering ability,Drama,True,False,Documental
Digitized mobile neural-net,Drama,True,False,Fantasia
Enterprise-wide 3rdgeneration process improvement,Sci-Fi,False,True,Deporte
Diverse fresh-thinking matrix,Drama,False,True,Terror
Public-key optimal process improvement,Romance,True,False,Drama
Future-proofed 5thgeneration task-force,Romance,False,True,Suspense
Optional value-added extranet,Romance,True,False,Comedia
Adaptive scalable forecast,Sci-Fi,True,False,Ciencia ficcion
Open-architected 3rdgeneration definition,Drama,True,False,Crimen
Enterprise-wide system-worthy help-desk,Romance,True,False,Western
Virtual transitional contingency,Romance,True,False,Crimen
Exclusive encompassing time-frame,Action,False,True,Misterio
Polarized radical solution,Drama,False,True,Familia
Mandatory optimal toolset,Romance,True,False,Crimen
Cloned local functionalities,Romance,False,True,Suspense
Multi-lateral scalable structure,Drama,True,False,Misterio
Vision-oriented zero-defect intranet,Action,False,True,Western
Enhanced high-level hardware,Comedy,False,True,Documental
Intuitive bottom-line definition,Action,True,False,Deporte
Self-enabling asymmetric knowledge user,Romance,True,False,Suspense
Face-to-face regional capacity,Sci-Fi,True,False,Suspense
Virtual non-volatile workforce,Action,True,False,Misterio
Expanded mission-critical orchestration,Sci-Fi,False,True,Suspense
Total tangible parallelism,Comedy,False,True,Western
Centralized web-enabled projection,Sci-Fi,False,True,Terror
Visionary full-range superstructure,Sci-Fi,False,True,Western
Total 4thgeneration emulation,Sci-Fi,False,True,Western
Ameliorated fresh-thinking superstructure,Sci-Fi,True,False,Deporte
Virtual optimizing capability,Action,True,False,Animacion
Automated background secured line,Sci-Fi,False,True,Guerra
Total tangible strategy,Romance,True,False,Fantasia
Decentralized high-level artificial intelligence,Comedy,True,False,Fantasia
Versatile 24/7 framework,Drama,True,False,Animacion
Assimilated human-resource strategy,Action,True,False,Animacion
Inverse homogeneous superstructure,Drama,True,False,Accion y aventuras
Virtual leadingedge infrastructure,Comedy,True,False,Western
Inverse clear-thinking groupware,Romance,True,False,Fantasia
Implemented 24/7 strategy,Drama,True,False,Accion y aventuras
Open-source global task-force,Sci-Fi,False,True,Historia
Sharable contextually-based installation,Romance,False,True,Guerra
Realigned bifurcated toolset,Sci-Fi,False,True,Historia
Re-contextualized bandwidth-monitored workforce,Romance,False,True,Fantasia
Reduced optimizing toolset,Drama,False,True,Historia
Operative attitude-oriented product,Comedy,False,True,Documental
Digitized contextually-based array,Comedy,True,False,Accion y aventuras
Function-based asynchronous budgetary management,Sci-Fi,False,True,Romance
Expanded explicit workforce,Drama,True,False,Animacion
Profit-focused content-based collaboration,Action,True,False,Suspense
Cross-platform mission-critical flexibility,Action,True,False,Historia
Realigned 24hour attitude,Sci-Fi,True,False,Fantasia
Polarized composite data-warehouse,Romance,True,False,Musical
Exclusive optimizing customer loyalty,Drama,True,False,Documental
Seamless bandwidth-monitored intranet,Romance,True,False,Familia
Sharable 5thgeneration collaboration,Sci-Fi,True,False,Guerra
Implemented holistic array,Comedy,True,False,Comedia
Total contextually-based extranet,Drama,True,False,Musical
Extended zero-defect adapter,Sci-Fi,False,True,Terror
Vision-oriented secondary info-mediaries,Romance,True,False,Comedia
Intuitive heuristic architecture,Drama,False,True,Fantasia
Streamlined modular parallelism,Romance,False,True,Familia
Enterprise-wide asymmetric adapter,Sci-Fi,True,False,Historia
Operative radical benchmark,Action,False,True,Drama
Public-key value-added policy,Romance,False,True,Western
Optional 5thgeneration strategy,Sci-Fi,False,True,Familia
Stand-alone 24/7 moratorium,Drama,False,True,Familia
Synergistic systematic secured line,Action,False,True,Accion y aventuras
Triple-buffered bi-directional extranet,Romance,False,True,Suspense
Cross-platform 3rdgeneration functionalities,Comedy,True,False,Guerra
Universal demand-driven encryption,Action,True,False,Documental
Programmable real-time frame,Romance,False,True,Suspense
Cross-group asynchronous Internet solution,Drama,False,True,Ciencia ficcion
Reactive regional Local Area Network,Romance,False,True,Deporte
Programmable real-time frame,Comedy,True,False,Comedia
Total tangible parallelism,Comedy,False,True,Accion y aventuras
Open-source heuristic focus group,Romance,True,False,Familia
Enterprise-wide directional intranet,Drama,True,False,Romance
Configurable methodical Graphical User Interface,Comedy,True,False,Documental
Compatible zero-defect encryption,Comedy,True,False,Musical
Organized actuating functionalities,Sci-Fi,True,False,Romance
Cross-group asymmetric portal,Drama,True,False,Western
Virtual transitional contingency,Action,True,False,Accion y aventuras
Robust 6thgeneration service-desk,Sci-Fi,True,False,Western
Exclusive encompassing time-frame,Comedy,False,True,Fantasia
Team-oriented directional moratorium,Action,True,False,Terror
Function-based asynchronous budgetary management,Romance,True,False,Historia
Reactive regional Local Area Network,Romance,True,False,Terror
Function-based eco-centric paradigm,Comedy,False,True,Fantasia
Proactive asynchronous time-frame,Romance,True,False,Western
De-engineered bottom-line workforce,Drama,True,False,Drama
Pre-emptive solution-oriented success,Romance,True,False,Romance
De-engineered content-based implementation,Sci-Fi,False,True,Drama
Polarized object-oriented function,Drama,True,False,Guerra
Centralized tertiary forecast,Action,False,True,Ciencia ficcion
Future-proofed exuding definition,Romance,False,True,Guerra
Down-sized executive initiative,Action,True,False,Historia
Secured non-volatile extranet,Action,False,True,Suspense
Stand-alone methodical interface,Comedy,False,True,Ciencia ficcion
Robust mobile firmware,Comedy,False,True,Crimen
Front-line regional structure,Sci-Fi,True,False,Musical
Virtual asymmetric policy,Drama,False,True,Musical
Cross-platform directional methodology,Comedy,True,False,Romance
Profit-focused incremental knowledgebase,Comedy,False,True,Musical
Diverse 24/7 standardization,Drama,False,True,Drama
Ameliorated explicit intranet,Comedy,True,False,Western
Customizable contextually-based protocol,Romance,False,True,Musical
Persistent asymmetric protocol,Romance,False,True,Documental
Enhanced needs-based firmware,Drama,True,False,Ciencia ficcion
Re-contextualized impactful flexibility,Comedy,False,True,Deporte
Profit-focused directional throughput,Sci-Fi,False,True,Terror
Business-focused encompassing utilization,Romance,False,True,Guerra
Open-source global task-force,Comedy,True,False,Misterio
Managed heuristic strategy,Romance,True,False,Fantasia
Cross-group high-level standardization,Romance,True,False,Misterio
Inverse stable array,Comedy,True,False,Familia
Persevering logistical flexibility,Drama,True,False,Deporte
Ameliorated disintermediate ability,Drama,True,False,Animacion
Implemented value-added emulation,Action,False,True,Historia
Compatible secondary architecture,Drama,True,False,Crimen
Vision-oriented radical encoding,Comedy,True,False,Terror
Configurable mission-critical workforce,Comedy,False,True,Terror
Reactive interactive structure,Drama,True,False,Accion y aventuras
Automated tangible orchestration,Drama,True,False,Drama
Ergonomic client-server policy,Sci-Fi,False,True,Musical
Automated leadingedge toolset,Action,False,True,Romance
Public-key value-added policy,Sci-Fi,True,False,Animacion
Business-focused executive parallelism,Comedy,False,True,Suspense
Cloned executive moratorium,Comedy,False,True,Musical
Fundamental intangible leverage,Romance,True,False,Deporte
Robust directional open system,Drama,True,False,Ciencia ficcion
Future-proofed systemic middleware,Romance,False,True,Misterio
Synergistic logistical approach,Action,False,True,Musical
Ameliorated explicit intranet,Comedy,False,True,Misterio
Secured transitional architecture,Drama,False,True,Misterio
Implemented zero tolerance knowledgebase,Romance,False,True,Terror
Pre-emptive clear-thinking system engine,Romance,False,True,Documental
Visionary logistical structure,Action,False,True,Romance
Innovative executive toolset,Sci-Fi,True,False,Drama
Right-sized needs-based middleware,Sci-Fi,True,False,Drama
Function-based client-server projection,Drama,True,False,Comedia
Virtual transitional contingency,Comedy,False,True,Documental
Enterprise-wide bi-directional definition,Action,False,True,Romance
Open-source global task-force,Comedy,False,True,Misterio
Multi-layered motivating array,Sci-Fi,False,True,Terror
Stand-alone methodical interface,Drama,True,False,Western
Seamless full-range strategy,Romance,False,True,Deporte
Profit-focused user-facing encryption,Romance,False,True,Historia
Front-line attitude-oriented project,Drama,True,False,Romance
Re-contextualized background database,Comedy,False,True,Historia
Intuitive actuating matrix,Drama,False,True,Documental
Open-source solution-oriented focus group,Romance,True,False,Guerra
Synergized even-keeled paradigm,Comedy,False,True,Terror
De-engineered full-range framework,Drama,True,False,Ciencia ficcion
Profit-focused discrete access,Drama,False,True,Ciencia ficcion
Pre-emptive clear-thinking system engine,Comedy,True,False,Romance
Enhanced human-resource capability,Action,True,False,Romance
Inverse empowering moderator,Drama,True,False,Accion y aventuras
Cross-group stable forecast,Sci-Fi,False,True,Documental
Realigned zero-defect interface,Comedy,False,True,Comedia
Balanced systemic methodology,Comedy,True,False,Historia
Extended multi-state moderator,Romance,True,False,Western
Cloned radical firmware,Action,True,False,Suspense
Profit-focused asymmetric instruction set,Sci-Fi,False,True,Fantasia
Switchable homogeneous encoding,Drama,False,True,Guerra
Focused client-driven orchestration,Romance,False,True,Comedia
Versatile cohesive portal,Comedy,False,True,Romance
Optional systemic standardization,Sci-Fi,False,True,Historia
Multi-lateral 3rdgeneration open architecture,Romance,True,False,Historia
Re-contextualized impactful flexibility,Sci-Fi,False,True,Fantasia
Cross-group full-range throughput,Action,False,True,Crimen
Multi-layered 24/7 Graphic Interface,Sci-Fi,False,True,Familia
Robust neutral focus group,Romance,True,False,Crimen
Switchable homogeneous encoding,Comedy,True,False,Documental
Customer-focused needs-based portal,Romance,True,False,Comedia
Networked asymmetric initiative,Romance,True,False,Western
Fundamental directional matrix,Romance,False,True,Romance
Adaptive asymmetric database,Drama,False,True,Romance
Assimilated background initiative,Romance,False,True,Documental
Optimized attitude-oriented parallelism,Action,True,False,Suspense
Decentralized well-modulated function,Action,False,True,Documental
Exclusive coherent complexity,Drama,True,False,Crimen
Function-based transitional open architecture,Sci-Fi,False,True,Crimen
Phased 5thgeneration database,Comedy,True,False,Comedia
User-centric well-modulated array,Comedy,False,True,Crimen
Customizable 5thgeneration process improvement,Drama,False,True,Ciencia ficcion
Profound real-time neural-net,Action,True,False,Romance
Cross-platform 3rdgeneration functionalities,Action,False,True,Documental
Ameliorated disintermediate ability,Romance,True,False,Fantasia
Decentralized well-modulated function,Action,False,True,Terror
Multi-layered global moratorium,Drama,False,True,Western
Vision-oriented bifurcated encryption,Drama,False,True,Historia
Assimilated upward-trending solution,Drama,False,True,Historia
Digitized intangible success,Drama,True,False,Suspense
Sharable systemic collaboration,Romance,True,False,Familia
Decentralized disintermediate orchestration,Sci-Fi,True,False,Drama
Progressive background parallelism,Drama,True,False,Misterio
Exclusive background Local Area Network,Romance,False,True,Terror
Fundamental clear-thinking Graphical User Interface,Romance,True,False,Western
Customizable stable approach,Romance,False,True,Guerra
Advanced radical implementation,Drama,False,True,Suspense
Intuitive object-oriented model,Drama,False,True,Misterio
Reduced multi-state system engine,Comedy,True,False,Musical
Programmable encompassing support,Action,False,True,Animacion
Fully-configurable regional budgetary management,Romance,False,True,Fantasia
Automated leadingedge toolset,Comedy,True,False,Musical
Public-key value-added policy,Action,False,True,Accion y aventuras
Multi-lateral scalable structure,Drama,False,True,Historia
Expanded heuristic initiative,Sci-Fi,False,True,Crimen
Balanced logistical contingency,Sci-Fi,False,True,Romance
Enterprise-wide system-worthy help-desk,Action,False,True,Western
Public-key discrete archive,Comedy,True,False,Drama
Implemented holistic array,Action,False,True,Animacion
Centralized transitional policy,Romance,True,False,Drama
Fully-configurable discrete array,Drama,True,False,Fantasia
Pre-emptive modular artificial intelligence,Romance,False,True,Crimen
Ameliorated mission-critical Internet solution,Drama,False,True,Historia
Open-architected motivating Graphical User Interface,Sci-Fi,False,True,Ciencia ficcion
Synergistic actuating extranet,Action,True,False,Deporte
Fundamental hybrid strategy,Romance,True,False,Deporte
Multi-tiered client-driven success,Sci-Fi,False,True,Fantasia
Cross-group high-level standardization,Romance,False,True,Crimen
Re-contextualized bandwidth-monitored workforce,Romance,False,True,Familia
Profit-focused user-facing encryption,Drama,False,True,Guerra
Face-to-face foreground task-force,Action,True,False,Documental
Re-contextualized heuristic hardware,Action,False,True,Western
Switchable 24/7 structure,Comedy,True,False,Crimen
Ergonomic 6thgeneration hierarchy,Drama,True,False,Familia
Future-proofed fault-tolerant utilization,Drama,False,True,Deporte
Ameliorated 6thgeneration array,Drama,True,False,Musical
Fully-configurable homogeneous forecast,Romance,True,False,Drama
Operative grid-enabled frame,Sci-Fi,True,False,Misterio
Realigned bifurcated toolset,Comedy,True,False,Animacion
De-engineered zero tolerance algorithm,Action,True,False,Documental
Realigned local attitude,Drama,False,True,Musical
Customizable contextually-based protocol,Sci-Fi,False,True,Historia
Cross-group stable forecast,Action,True,False,Misterio
Switchable 24/7 structure,Action,True,False,Accion y aventuras
Pre-emptive clear-thinking system engine,Comedy,True,False,Romance
Right-sized uniform encoding,Drama,False,True,Western
Visionary logistical utilization,Drama,False,True,Suspense
Centralized web-enabled projection,Drama,True,False,Accion y aventuras
Intuitive upward-trending flexibility,Drama,False,True,Familia
Digitized intangible success,Comedy,False,True,Western
Digitized executive task-force,Sci-Fi,True,False,Romance
Profit-focused content-based collaboration,Romance,False,True,Romance
Sharable contextually-based installation,Comedy,True,False,Misterio
Profit-focused directional throughput,Romance,False,True,Ciencia ficcion
Re-engineered explicit architecture,Comedy,True,False,Fantasia
Visionary national open architecture,Comedy,False,True,Historia
Open-architected motivating Graphical User Interface,Action,True,False,Ciencia ficcion
Cross-platform holistic leverage,Comedy,True,False,Ciencia ficcion
Multi-layered interactive moratorium,Romance,False,True,Documental
Front-line analyzing hierarchy,Sci-Fi,True,False,Crimen
Open-architected context-sensitive approach,Drama,False,True,Guerra
Devolved directional service-desk,Sci-Fi,True,False,Drama
Compatible optimal forecast,Comedy,False,True,Terror
Expanded mission-critical orchestration,Romance,False,True,Terror
Open-source solution-oriented focus group,Drama,True,False,Fantasia
Intuitive upward-trending flexibility,Comedy,False,True,Crimen
Upgradable tertiary application,Action,False,True,Deporte
Synergistic motivating solution,Action,False,True,Accion y aventuras
Expanded analyzing help-desk,Romance,False,True,Terror
Secured directional functionalities,Sci-Fi,False,True,Terror
Re-engineered actuating budgetary management,Action,False,True,Guerra
Fundamental methodical projection,Romance,False,True,Terror
Implemented eco-centric productivity,Action,True,False,Animacion
Up-sized regional intranet,Action,True,False,Western
Sharable systemic collaboration,Romance,True,False,Documental
Re-engineered context-sensitive superstructure,Sci-Fi,True,False,Terror
Compatible demand-driven help-desk,Romance,True,False,Romance
Enterprise-wide optimizing function,Action,True,False,Western
Diverse multi-state analyzer,Drama,True,False,Animacion
Face-to-face regional capacity,Sci-Fi,True,False,Guerra
Distributed eco-centric data-warehouse,Comedy,True,False,Crimen
Exclusive background Local Area Network,Comedy,False,True,Suspense
Synchronized system-worthy throughput,Romance,False,True,Terror
Persevering well-modulated help-desk,Action,True,False,Terror
Adaptive multi-state hierarchy,Sci-Fi,True,False,Fantasia
Horizontal 5thgeneration Graphical User Interface,Drama,True,False,Ciencia ficcion
Realigned leadingedge hierarchy,Drama,True,False,Terror
Polarized object-oriented function,Action,True,False,Musical
Decentralized high-level artificial intelligence,Action,False,True,Comedia
Visionary next generation circuit,Sci-Fi,False,True,Ciencia ficcion
Synergistic transitional task-force,Action,False,True,Drama
Profound regional installation,Comedy,False,True,Misterio
Self-enabling dedicated customer loyalty,Sci-Fi,True,False,Accion y aventuras
Devolved solution-oriented complexity,Drama,True,False,Misterio
Mandatory optimal toolset,Sci-Fi,True,False,Deporte
Virtual leadingedge infrastructure,Sci-Fi,True,False,Familia
Triple-buffered actuating initiative,Comedy,True,False,Comedia
Profit-focused user-facing encryption,Comedy,True,False,Guerra
Expanded executive challenge,Drama,True,False,Misterio
Cloned demand-driven functionalities,Comedy,True,False,Ciencia ficcion
Reactive interactive structure,Action,True,False,Romance
Customizable scalable intranet,Drama,False,True,Familia
Advanced next generation contingency,Romance,True,False,Musical
Compatible static utilization,Romance,False,True,Misterio
Team-oriented zero-defect solution,Romance,True,False,Western
Focused client-driven orchestration,Comedy,False,True,Guerra
Polarized directional framework,Drama,False,True,Western
Universal responsive definition,Drama,False,True,Comedia
Open-architected 24/7 software,Action,True,False,Drama
Diverse multi-state analyzer,Romance,True,False,Accion y aventuras
Innovative 24/7 migration,Comedy,False,True,Crimen
Fundamental hybrid strategy,Drama,False,True,Guerra
Digitized directional focus group,Sci-Fi,True,False,Misterio
Horizontal fresh-thinking interface,Action,True,False,Romance
Total user-facing standardization,Drama,False,True,Deporte
Right-sized full-range core,Drama,False,True,Deporte
Public-key zero tolerance encryption,Action,True,False,Animacion
Programmable holistic hierarchy,Comedy,False,True,Accion y aventuras
Mandatory high-level policy,Action,False,True,Western
Profound attitude-oriented frame,Comedy,False,True,Documental
User-friendly 5thgeneration approach,Comedy,False,True,Crimen
Horizontal 5thgeneration Graphical User Interface,Drama,True,False,Terror
Compatible zero-defect encryption,Romance,True,False,Drama
Reactive 24hour system engine,Comedy,False,True,Documental
Profit-focused asymmetric instruction set,Comedy,False,True,Familia
Virtual transitional contingency,Sci-Fi,False,True,Crimen
Cloned multi-state contingency,Action,False,True,Familia
Organized background framework,Sci-Fi,True,False,Comedia
Virtual transitional contingency,Sci-Fi,False,True,Suspense
Profit-focused discrete access,Drama,True,False,Comedia
Multi-layered motivating array,Comedy,False,True,Documental
Advanced 3rdgeneration migration,Sci-Fi,False,True,Misterio
Open-source global task-force,Romance,True,False,Crimen
Persistent local interface,Comedy,False,True,Guerra
Operative system-worthy hub,Sci-Fi,True,False,Fantasia
Exclusive eco-centric projection,Comedy,False,True,Ciencia ficcion
Networked system-worthy software,Sci-Fi,False,True,Western
Enterprise-wide system-worthy help-desk,Comedy,False,True,Comedia
Total responsive emulation,Romance,False,True,Fantasia
Visionary logistical structure,Sci-Fi,False,True,Western
Optional hybrid website,Action,False,True,Terror
Fundamental heuristic array,Comedy,True,False,Ciencia ficcion
Seamless encompassing encoding,Drama,True,False,Romance
Devolved interactive alliance,Action,False,True,Familia
Optional intermediate info-mediaries,Action,False,True,Accion y aventuras
