start_node_id,end_node_id,properties.Role,properties.Since,properties.Until
Barbara Allen,Monitored hybrid forecast,Asistente de camara,1902-12-8,1921-2-17
Lisa Young,Organized clear-thinking policy,Doblaje,2010-7-23,1918-4-2
Michael Rodriguez,Total responsive emulation,Asistente de efectos visuales,1990-12-21,1993-4-20
Michael Thomas,Multi-channeled 5thgeneration orchestration,Productor,1935-9-1,1985-3-28
Daniel Martin,Phased 6thgeneration conglomeration,Musica,1905-10-28,1922-9-18
Sandra Wilson,Total responsive emulation,Asistente de casting,1931-9-5,1927-12-5
Michael Brown,Stand-alone dynamic project,Asistente de maquillaje,1965-10-18,1982-4-21
Matthew Robinson,Open-source intangible capacity,Asistente de direccion,1932-5-25,1918-1-11
Susan White,Enhanced homogeneous emulation,Efectos especiales,1906-9-26,1982-7-1
Patricia Robinson,Extended zero-defect adapter,Doblaje,1907-2-5,2011-10-13
Lisa Thompson,Synergistic secondary parallelism,Disenador de produccion,1952-2-3,2006-6-14
Jessica Allen,Stand-alone 24/7 moratorium,Asistente de casting,1934-7-20,1967-11-18
Margaret Walker,Networked static extranet,Director,2000-2-21,1913-4-28
Jennifer Robinson,Profound bifurcated matrix,Productor,1995-1-13,1979-12-11
James Miller,Streamlined scalable service-desk,Disenador de produccion,2016-1-5,1996-8-10
Nancy Brown,Realigned 24hour attitude,Asistente de efectos visuales,1990-1-5,2003-10-13
Christopher Wilson,Team-oriented maximized website,Asistente de direccion,1927-10-28,1988-5-2
Robert Miller,Reverse-engineered holistic software,Asistente de maquillaje,1992-12-12,1981-11-12
Charles Miller,Multi-channeled leadingedge Internet solution,Asistente de maquillaje,1938-11-7,1969-4-3
William Clark,Re-contextualized impactful flexibility,Animador,1942-9-14,1916-1-12
William Martinez,Polarized web-enabled matrix,Asistente de camara,1937-2-28,1987-1-21
Joseph Thomas,Robust motivating array,Asistente de animacion,1975-9-24,1953-8-24
Patricia Thompson,Streamlined grid-enabled budgetary management,Asistente de arte,2000-4-9,1915-12-16
Elizabeth Wilson,Diverse zero tolerance synergy,Musica,1969-3-14,1960-5-19
Thomas Thompson,Devolved object-oriented info-mediaries,Asistente de doblaje,1912-2-10,1913-2-16
Jennifer Young,De-engineered well-modulated analyzer,Asistente de casting,1925-5-27,1918-2-23
William Williams,Switchable 24/7 structure,Asistente de doblaje,1958-4-2,1967-10-6
Robert Anderson,Implemented zero tolerance knowledgebase,Efectos visuales,1939-12-1,1976-12-13
Elizabeth Anderson,Diverse 24/7 standardization,Asistente de direccion,1980-9-1,1964-5-23
Thomas Miller,Balanced didactic alliance,Asistente de vestuario,1931-9-12,2019-1-15
Sandra Moore,Assimilated zero-defect analyzer,Asistente de sonido,1927-2-12,1969-3-24
Michael Thompson,Programmable exuding implementation,Guionista,2001-2-24,1997-12-1
Michael White,Integrated high-level Graphic Interface,Disenador de produccion,1910-3-4,2008-12-17
Ashley Clark,Automated background secured line,Asistente de efectos especiales,2019-2-6,1980-9-8
Ashley Hall,Exclusive uniform success,Asistente de casting,1963-12-23,1960-9-26
Michael Thompson,Synergized even-keeled paradigm,Disenador de vestuario,2019-3-9,1954-6-18
Jennifer Smith,Exclusive grid-enabled Internet solution,Maquillador,1997-4-8,1903-12-1
Anthony Taylor,Exclusive grid-enabled Internet solution,Efectos visuales,1930-11-23,1923-11-20
Christopher Robinson,Front-line dynamic time-frame,Efectos especiales,1955-6-25,1926-2-18
Mary Young,Robust directional open system,Asistente de camara,1959-7-16,1934-10-5
James Hall,Integrated logistical instruction set,Guionista,1940-2-25,1912-4-12
John Martinez,Pre-emptive eco-centric intranet,Efectos visuales,1941-11-3,1945-12-22
Charles Davis,Adaptive reciprocal contingency,Editor,1920-5-27,2015-3-22
Richard Lewis,Automated background secured line,Animador,2010-12-20,1902-7-23
Thomas Hernandez,Profound client-driven flexibility,Asistente de animacion,2002-3-17,1973-1-14
John Brown,Enhanced maximized help-desk,Maquillador,2009-4-23,1941-6-21
Christopher Smith,Cloned radical firmware,Efectos visuales,1935-11-9,1975-11-11
Robert Smith,Re-contextualized mission-critical success,Sonidista,1968-1-26,1930-3-6
Mark Young,Inverse tangible implementation,Editor,1931-4-21,1933-7-10
Joseph Anderson,Assimilated background initiative,Asistente de arte,2003-5-15,1915-5-22
Susan Jackson,Implemented 24/7 strategy,Asistente de casting,2004-11-14,1961-1-20
Ashley Lee,Virtual transitional contingency,Asistente de doblaje,1998-12-24,1907-11-13
James Lee,Devolved systemic solution,Maquillador,1936-3-22,1922-8-4
Joseph Miller,Multi-tiered client-driven success,Sonidista,1915-1-17,1913-8-25
Elizabeth Moore,Streamlined didactic superstructure,Asistente de musica,1906-12-11,1989-9-25
Margaret Jackson,De-engineered bottom-line workforce,Musica,1991-6-13,1997-9-14
Christopher Smith,Grass-roots mobile open system,Camarografo,1945-3-23,2011-11-4
Charles Robinson,Innovative national definition,Asistente de maquillaje,1934-4-27,1928-3-15
Karen Allen,Face-to-face 24/7 structure,Asistente de musica,2007-7-15,1957-12-1
Elizabeth Thompson,Optimized context-sensitive access,Asistente de vestuario,1985-2-19,1936-9-7
Lisa Harris,Business-focused executive parallelism,Asistente de doblaje,1956-12-14,1985-9-19
Jennifer Harris,Optional zero tolerance firmware,Casting,2003-3-14,1914-6-17
Christopher Clark,Realigned leadingedge hierarchy,Editor,1967-2-27,1900-4-2
James Miller,Reverse-engineered content-based matrices,Doblaje,1909-9-14,1985-7-27
Daniel Martinez,Public-key systemic methodology,Asistente de doblaje,2012-1-26,2004-3-5
Anthony Rodriguez,Synergistic logistical approach,Asistente de musica,1928-11-17,1950-11-22
Matthew Robinson,Balanced client-server encryption,Actor,1932-12-1,1945-11-4
Mark Johnson,Up-sized 5thgeneration capability,Asistente de efectos visuales,1928-11-21,1957-11-9
Linda Moore,Re-engineered actuating budgetary management,Asistente de maquillaje,2017-11-15,1922-11-14
William Smith,Cloned foreground approach,Editor,1974-12-26,2018-8-9
Anthony Lee,Down-sized demand-driven synergy,Asistente de arte,1986-5-18,1928-1-5
David Anderson,Multi-layered interactive moratorium,Casting,1906-12-3,1937-9-2
Jessica Johnson,Front-line dedicated infrastructure,Doblaje,1987-1-2,2020-7-5
Thomas Johnson,Innovative heuristic circuit,Asistente de maquillaje,1914-11-9,1961-10-3
Jennifer Johnson,Right-sized upward-trending solution,Asistente de produccion,2004-4-9,1984-2-1
Thomas Brown,Re-engineered uniform customer loyalty,Doblaje,1905-4-13,2004-8-14
Michael Rodriguez,Persistent systematic conglomeration,Casting,2020-9-26,1916-5-5
Karen Young,Public-key intangible capacity,Asistente de efectos visuales,1994-9-13,1908-10-15
Karen Johnson,Multi-lateral 3rdgeneration open architecture,Casting,1923-10-1,1957-11-27
Matthew Taylor,Open-source optimal utilization,Asistente de produccion,2007-9-18,1947-10-14
Jessica White,Horizontal explicit firmware,Efectos visuales,1961-11-5,1911-4-24
James Jackson,Seamless fresh-thinking portal,Asistente de vestuario,2007-9-5,1975-3-2
Lisa Harris,Implemented system-worthy frame,Disenador de produccion,1994-4-18,1950-4-15
Christopher Lee,Re-contextualized content-based standardization,Asistente de vestuario,1997-10-14,1957-8-12
Barbara Lewis,Exclusive bottom-line instruction set,Asistente de efectos especiales,1933-2-9,1978-1-5
Patricia Martin,Configurable methodical Graphical User Interface,Productor,1910-9-28,1937-9-12
Ashley Walker,Vision-oriented zero-defect intranet,Asistente de arte,1960-12-25,1935-8-1
Sandra Brown,Reduced zero-defect migration,Asistente de doblaje,2000-5-5,1985-3-12
Matthew Walker,Managed motivating firmware,Sonidista,1923-9-6,2008-5-6
Susan Jones,User-friendly 5thgeneration approach,Musica,2009-1-3,1956-5-28
Daniel Martinez,Profound impactful strategy,Editor,1932-1-8,1979-4-25
Elizabeth Clark,Reverse-engineered content-based matrices,Asistente de sonido,1900-6-21,1902-2-8
Robert Lee,De-engineered modular system engine,Asistente de musica,1937-3-28,1920-5-13
Susan Miller,Centralized optimal functionalities,Animador,1926-10-12,1995-11-27
Nancy Johnson,Decentralized well-modulated function,Director,2020-4-18,2010-10-8
Ashley Hernandez,Profound leadingedge capacity,Efectos especiales,1954-10-16,1931-8-27
Anthony Hall,Multi-channeled 24/7 projection,Asistente de maquillaje,1988-6-28,1983-9-4
Matthew Anderson,Cross-group asynchronous Internet solution,Asistente de sonido,1903-4-2,1965-4-19
Mary Moore,Reduced multi-state system engine,Efectos visuales,1979-4-8,1986-8-22
Thomas Miller,Secured fresh-thinking orchestration,Actor,1952-11-1,1929-10-1
David Miller,Operative human-resource adapter,Asistente de casting,1976-2-19,1931-4-20
William Moore,Sharable composite info-mediaries,Animador,1969-5-27,2017-11-23
James Hernandez,Function-based 24hour instruction set,Asistente de maquillaje,1995-8-27,1959-4-9
Sandra Martinez,Optional value-added extranet,Editor,1905-9-9,1979-4-12
Susan White,Cross-group exuding solution,Asistente de musica,1921-1-10,1901-12-13
Ashley Lee,De-engineered well-modulated analyzer,Guionista,1950-12-1,2018-10-19
Ashley Miller,Cloned neutral alliance,Asistente de vestuario,1973-5-5,1959-3-25
Matthew Anderson,Organized neutral ability,Asistente de efectos especiales,1996-2-27,1922-7-13
Mary Young,Public-key 4thgeneration knowledge user,Asistente de sonido,1998-6-5,1996-10-2
Linda White,Organized clear-thinking application,Doblaje,2016-10-18,1949-8-16
Charles Brown,Fully-configurable responsive matrix,Asistente de efectos visuales,1930-9-25,1948-9-10
Patricia Hall,Intuitive bottom-line definition,Director,1997-8-9,1923-12-26
Sandra Moore,Advanced attitude-oriented strategy,Actor,1908-12-8,1991-10-26
Daniel Allen,Devolved client-server attitude,Asistente de musica,1979-5-6,1916-10-6
Karen Johnson,Profound bifurcated flexibility,Asistente de efectos especiales,2005-3-7,2011-1-28
Ashley White,Proactive secondary throughput,Asistente de animacion,1927-11-11,1917-1-26
Joseph Thompson,Implemented demand-driven conglomeration,Asistente de sonido,1933-5-23,1922-7-15
Sandra Hernandez,Progressive scalable frame,Efectos visuales,1980-8-1,1955-6-6
Mary Martin,Multi-lateral foreground service-desk,Asistente de arte,1931-1-12,1934-7-18
Matthew White,Centralized web-enabled projection,Asistente de efectos visuales,1911-6-21,1981-9-15
Elizabeth Williams,Stand-alone dynamic project,Asistente de efectos especiales,1937-7-18,1999-5-25
Daniel Martinez,Down-sized exuding groupware,Camarografo,1987-11-10,1972-2-27
Robert Jones,Networked object-oriented orchestration,Disenador de produccion,1998-1-3,1975-1-12
Ashley White,Switchable next generation info-mediaries,Sonidista,1997-1-28,2006-3-15
David Brown,Fundamental hybrid strategy,Casting,1955-3-21,1970-10-15
Jennifer Clark,Seamless systemic database,Doblaje,1950-11-26,1951-3-17
Margaret Garcia,Networked composite capability,Asistente de produccion,1994-10-6,1913-9-14
Barbara Clark,Cross-platform mission-critical flexibility,Asistente de camara,1983-3-6,1965-7-25
Richard Hall,Quality-focused contextually-based structure,Director,1995-8-26,1915-1-2
James Clark,Function-based asynchronous budgetary management,Asistente de direccion,1985-11-18,1936-2-26
Thomas Brown,Secured impactful hierarchy,Guionista,1907-2-6,1934-3-18
Susan Garcia,Exclusive coherent complexity,Asistente de camara,1928-4-16,1902-12-6
Daniel Davis,Customer-focused coherent orchestration,Actor,1990-9-17,1947-9-11
Richard Taylor,Decentralized explicit time-frame,Asistente de efectos visuales,1957-5-18,2003-2-25
David Martin,Sharable client-server project,Asistente de animacion,1994-2-28,1958-10-19
Charles Jones,Programmable stable hardware,Asistente de maquillaje,1967-3-19,1910-10-22
Mark Davis,Balanced high-level solution,Efectos visuales,2008-6-15,1982-6-10
Barbara Thompson,Sharable dynamic Local Area Network,Animador,1924-10-18,1942-10-23
Christopher Garcia,De-engineered full-range framework,Asistente de camara,1979-3-11,1995-3-12
John Walker,Realigned bifurcated toolset,Maquillador,1924-1-1,2020-1-5
Richard Miller,Managed solution-oriented analyzer,Asistente de produccion,1903-8-7,1967-8-25
Thomas Jones,Enterprise-wide system-worthy help-desk,Asistente de produccion,1940-11-17,1995-7-9
Mark Johnson,Optional hybrid website,Asistente de doblaje,2014-2-3,1913-8-7
John Walker,Polarized responsive ability,Asistente de produccion,2020-1-11,2008-11-1
Matthew Young,Exclusive encompassing time-frame,Musica,1953-10-5,1926-12-2
Margaret Hernandez,Secured neutral open architecture,Editor,1981-3-23,1991-11-10
Matthew Jones,Customizable stable ability,Director,1960-10-5,1981-6-7
Michael Lewis,Customizable 5thgeneration process improvement,Animador,1900-5-14,1919-11-19
Patricia Taylor,Object-based regional flexibility,Maquillador,1990-9-10,1955-4-11
Ashley Wilson,Total tangible strategy,Asistente de efectos visuales,1928-9-9,1961-1-23
Michael Smith,Robust radical encryption,Director,2001-10-24,2019-8-25
Richard Thompson,Stand-alone methodical interface,Asistente de casting,1925-12-5,1997-7-10
Mark Johnson,Organized neutral ability,Disenador de vestuario,1971-4-15,1955-1-8
Joseph Taylor,Inverse 6thgeneration collaboration,Maquillador,1961-4-1,1930-7-18
John Smith,Triple-buffered static Local Area Network,Productor,1938-4-13,1903-9-17
Charles Hall,Ergonomic 24/7 support,Asistente de direccion,1922-1-14,2003-11-16
Thomas Johnson,Advanced leadingedge encryption,Asistente de efectos visuales,1924-8-25,1976-8-14
William Johnson,Organized systematic middleware,Casting,1901-6-18,1911-4-7
Jessica Lewis,Up-sized maximized secured line,Efectos visuales,2010-4-13,1904-5-7
Robert Taylor,Stand-alone optimizing analyzer,Asistente de maquillaje,1933-12-27,1975-4-2
Lisa Harris,Diverse 24hour open architecture,Asistente de casting,1982-4-6,1972-9-3
Matthew Anderson,Organized dynamic leverage,Asistente de doblaje,1909-8-16,1949-2-12
Jessica Williams,Seamless global process improvement,Editor,1908-7-15,1933-2-27
Susan Lewis,Public-key directional parallelism,Maquillador,1992-8-7,1982-3-23
Jessica Allen,Multi-tiered global customer loyalty,Asistente de camara,1992-5-14,1996-2-18
Ashley White,Re-contextualized impactful flexibility,Disenador de vestuario,1961-2-17,1973-8-12
Elizabeth Thomas,Cloned neutral alliance,Doblaje,1900-12-7,1937-6-26
Joseph Martin,Horizontal fresh-thinking interface,Casting,1975-5-19,2002-9-8
Susan Lewis,Decentralized global emulation,Asistente de casting,1920-9-9,1929-11-4
James Anderson,Balanced logistical contingency,Asistente de casting,1985-9-10,1998-7-12
Anthony Jones,Centralized didactic middleware,Musica,1956-10-8,1968-9-1
Mary Lee,Synchronized system-worthy throughput,Asistente de direccion,1999-8-21,1941-2-3
Linda Hall,Organized actuating functionalities,Asistente de camara,1991-4-16,1993-12-4
Sarah Martin,Streamlined system-worthy architecture,Asistente de direccion,1949-9-17,1968-10-14
Mark Johnson,Up-sized maximized secured line,Doblaje,1910-11-20,1971-9-22
Matthew Anderson,Robust radical encryption,Asistente de musica,1990-9-8,1975-5-17
Michael Hall,Cloned local functionalities,Asistente de arte,1948-3-19,2005-8-21
Anthony Robinson,Extended coherent neural-net,Guionista,1965-6-9,1971-11-2
Jessica Allen,Robust motivating migration,Efectos especiales,1949-7-20,1941-9-14
Barbara Thompson,Stand-alone value-added function,Musica,1912-11-23,1945-8-21
Margaret Lee,Total tangible parallelism,Sonidista,1905-3-5,1961-9-17
Mary Clark,Centralized tertiary forecast,Doblaje,1913-8-13,1980-10-10
Michael Rodriguez,Fundamental directional matrix,Actor,1918-7-20,1937-7-17
Christopher Jones,Sharable 5thgeneration collaboration,Animador,1996-6-25,1957-4-3
Linda Lewis,Polarized solution-oriented concept,Asistente de casting,1911-10-20,2009-5-27
Thomas Brown,Cloned radical process improvement,Camarografo,1915-7-28,1987-2-16
Elizabeth Martinez,Implemented 24/7 strategy,Actor,2008-4-12,1989-7-25
Jennifer Clark,Cross-group full-range framework,Asistente de arte,2004-4-6,1936-5-28
Richard Davis,Digitized intangible success,Asistente de efectos especiales,1995-10-18,1969-9-3
Linda Garcia,Versatile upward-trending forecast,Asistente de efectos especiales,2012-9-13,1960-3-19
Jennifer Smith,Mandatory neutral hardware,Disenador de produccion,1988-9-2,1904-5-11
Elizabeth Hernandez,Multi-tiered high-level architecture,Asistente de arte,1902-4-12,1993-2-4
Matthew Walker,Future-proofed systemic middleware,Asistente de efectos especiales,1950-8-10,1966-4-2
Susan Thompson,Open-source global task-force,Disenador de vestuario,1960-10-9,2016-4-1
Matthew Young,Sharable real-time firmware,Asistente de animacion,1946-4-1,2019-7-1
Charles Smith,Sharable asynchronous info-mediaries,Guionista,1991-2-2,2003-8-25
Patricia Hernandez,Balanced fresh-thinking adapter,Asistente de animacion,2004-9-1,1991-1-18
Barbara Allen,Secured fresh-thinking orchestration,Director,1927-1-14,1949-10-21
Michael Thompson,Realigned bifurcated toolset,Casting,1918-6-10,1951-6-24
Jennifer Garcia,Fully-configurable real-time matrix,Asistente de efectos visuales,1997-4-21,1979-10-23
Lisa Moore,Customizable secondary support,Guionista,1908-12-22,1933-7-20
Karen Robinson,Function-based encompassing capacity,Guionista,1905-8-17,1972-3-25
Margaret Moore,Fundamental clear-thinking Graphical User Interface,Actor,1970-5-14,2018-7-22
Matthew Walker,Sharable attitude-oriented attitude,Asistente de arte,1942-3-16,1952-12-24
David Walker,User-friendly coherent Local Area Network,Asistente de musica,1973-4-21,1954-5-15
Karen Davis,Re-contextualized intermediate paradigm,Asistente de efectos especiales,2000-11-18,1953-3-4
Susan Robinson,Distributed eco-centric data-warehouse,Editor,1998-2-12,1979-7-7
John Brown,Universal bifurcated groupware,Maquillador,1949-10-4,1904-7-21
Joseph Lewis,Function-based methodical matrices,Musica,1904-12-16,1924-8-23
Susan Rodriguez,Fundamental hybrid strategy,Disenador de produccion,1967-9-20,1999-10-4
Jennifer Thomas,Secured transitional architecture,Productor,1979-10-4,1951-10-21
Jennifer Smith,Intuitive 5thgeneration neural-net,Maquillador,2006-2-24,1956-7-22
David Lee,Mandatory systematic firmware,Asistente de produccion,1983-6-22,1924-8-6
Richard Martinez,Mandatory high-level policy,Asistente de camara,1953-2-8,1902-11-3
Susan Allen,Networked system-worthy software,Asistente de arte,1973-3-8,1904-5-23
Linda Wilson,Polarized stable software,Asistente de efectos especiales,1927-5-27,1950-11-22
Robert Smith,De-engineered disintermediate pricing structure,Asistente de efectos visuales,2001-10-14,1950-9-13
Nancy Allen,Distributed multi-state monitoring,Camarografo,2011-4-11,1949-5-25
Anthony White,Inverse stable product,Asistente de camara,1923-11-4,2011-7-16
Ashley Williams,Grass-roots impactful orchestration,Asistente de animacion,1928-10-3,1986-8-16
Margaret Wilson,Profound eco-centric portal,Asistente de direccion,1976-12-8,2016-1-28
Patricia Williams,Ergonomic heuristic artificial intelligence,Asistente de efectos especiales,2000-7-17,1953-6-7
Barbara Jackson,Operative optimal ability,Asistente de sonido,1925-10-13,1942-9-11
Daniel Miller,Organic full-range artificial intelligence,Asistente de vestuario,1992-5-7,1901-2-25
Robert Young,Re-engineered composite benchmark,Maquillador,1954-12-24,1991-8-24
Jennifer Young,Universal hybrid policy,Asistente de camara,1908-12-26,1968-7-25
Joseph Anderson,Digitized bottom-line firmware,Guionista,2017-4-13,1970-9-23
Linda Hernandez,Operative disintermediate Graphical User Interface,Musica,1925-12-24,1980-6-22
Mark Lee,Diverse next generation initiative,Editor,1917-3-17,1928-7-2
Robert Jones,De-engineered analyzing success,Asistente de efectos visuales,1944-11-10,2015-1-22
Christopher Young,Triple-buffered bi-directional extranet,Asistente de arte,1997-11-18,1930-2-28
Sandra Walker,Extended zero-defect adapter,Asistente de doblaje,1934-2-13,1980-5-8
Barbara Young,Balanced secondary forecast,Efectos especiales,1978-12-27,1926-2-21
Mary Rodriguez,Implemented zero tolerance knowledgebase,Disenador de produccion,1997-10-3,1969-2-2
James Wilson,Ergonomic 24/7 support,Guionista,1903-6-22,1969-8-16
David Rodriguez,Re-engineered analyzing open architecture,Efectos visuales,1913-1-28,1953-12-26
Matthew Clark,Operative non-volatile pricing structure,Doblaje,1924-10-15,2018-3-22
David Wilson,Reduced motivating secured line,Editor,1911-3-13,1923-11-16
Joseph Clark,Intuitive object-oriented model,Asistente de sonido,1920-3-17,1962-3-19
Elizabeth Taylor,Proactive asynchronous time-frame,Asistente de arte,1900-7-18,1937-1-27
Michael Anderson,Object-based regional flexibility,Asistente de vestuario,1945-6-20,1957-11-10
James Garcia,Multi-lateral directional throughput,Camarografo,1931-9-19,1917-11-11
Sandra Brown,Enterprise-wide system-worthy help-desk,Asistente de efectos visuales,1943-9-20,1966-5-17
Daniel Miller,Persistent solution-oriented capability,Efectos especiales,1982-12-22,1965-9-24
