start_node_id,end_node_id,properties.SelectionDate,properties.MomentShowed,properties.SceneDescription
Lonely for a Love,Grass-roots fault-tolerant throughput,2000-4-15,0:37,Cancion de fondo durante la escena de lucha
Star for a Sunset,Optional composite Local Area Network,2004-6-21,3:28,Cancion utilizada en el climax emocional
Eternal Love,Persistent systematic conglomeration,2015-4-18,1:59,Cancion utilizada en el climax emocional
Lonely in the Sky,Enhanced maximized help-desk,2002-1-27,2:12,Pieza epica para el climax de la batalla
Bright in the Sunset,Multi-channeled dynamic monitoring,2020-1-21,1:56,Cancion de amor para el encuentro emotivo
First Star,Organized background framework,2006-11-17,2:34,Pieza epica para el climax de la batalla
Heart beyond the Sunrise,Virtual optimizing capability,2017-4-13,0:44,Cancion nostalgica para el recuerdo del pasado
Eternal in the Love,Re-engineered background array,2017-4-21,1:38,Cancion melancolica para la escena triste
Last to the Night,Persistent fresh-thinking algorithm,2007-4-18,1:38,Melodia suave para la reconciliacion
Sunrise without a Night,Streamlined modular parallelism,2019-2-28,2:31,Cancion nostalgica para el recuerdo del pasado
Sunset for a Star,Right-sized regional emulation,2018-6-26,2:33,Melodia suave para la reconciliacion
Sky under the Sky,Re-engineered background array,2009-8-16,2:2,Musica de fondo para el dialogo intimo
Broken Star,Inverse maximized definition,2009-2-8,1:39,Cancion reproducida durante la escena de accion
Star without a Sky,Horizontal systemic strategy,2001-3-13,1:43,Cancion nostalgica para el recuerdo del pasado
Sky under the Star,Exclusive uniform success,2009-5-23,0:44,Cancion utilizada en el climax emocional
Eternal Heart,Balanced client-server encryption,2014-7-12,3:40,Cancion de fondo durante la escena de lucha
Happy in the Night,Focused well-modulated circuit,2016-4-13,1:30,Cancion dramatica para el momento crucial
Last of the Sunrise,Object-based regional flexibility,2002-3-6,1:55,Musica calmada para el momento de reflexion
Star for a Dream,Cloned local functionalities,2002-7-16,3:49,Cancion con ritmo rapido para la accion intensa
Lonely Moon,Organized directional archive,2001-11-7,2:35,Musica calmada para el momento de reflexion
Sky beyond the Heart,De-engineered modular system engine,2009-6-2,1:49,Pieza epica para el climax de la batalla
Happy without a Sky,Reverse-engineered non-volatile support,2015-9-14,3:53,Cancion dramatica para el momento crucial
Beautiful Sky,Horizontal systemic strategy,2000-7-22,2:16,Cancion dramatica para el momento crucial
Bright Love,Multi-layered global moratorium,2003-4-27,2:46,Musica de fondo para el dialogo intimo
Love under the Star,Cross-group directional definition,2009-1-23,3:18,Cancion dramatica para el momento crucial
Broken in the Heart,Fundamental directional matrix,2020-5-18,3:28,Cancion de amor para el encuentro emotivo
Love of the Star,Diverse next generation initiative,2020-7-8,0:6,Musica reflexiva para la introspeccion del personaje
Sunrise under the Sky,Up-sized high-level encoding,2003-8-13,3:6,Cancion de amor para el encuentro emotivo
Dream for a Star,Versatile executive paradigm,2002-4-8,0:59,Cancion energetica para la secuencia de persecucion
Final beyond the Moon,Balanced secondary forecast,2000-11-2,2:10,Cancion de fondo durante la escena de lucha
Beautiful without a Day,Implemented zero tolerance knowledgebase,2001-2-12,3:26,Musica calmada para el momento de reflexion
Sunrise for a Night,User-centric multimedia concept,2007-1-10,1:1,Cancion utilizada en el climax emocional
Last Sky,Robust radical encryption,2016-6-20,1:14,Pieza epica para el climax de la batalla
First beyond the Moon,Public-key bifurcated forecast,2019-3-5,2:28,Tematica instrumental para el desarrollo narrativo
Star for a Dream,Multi-tiered systemic success,2006-2-13,1:40,Cancion dramatica para el momento crucial
Last Day,Synchronized demand-driven toolset,2006-9-7,0:41,Cancion utilizada en el climax emocional
Day beyond the Moon,Multi-lateral composite process improvement,2004-12-23,0:59,Cancion dramatica para el momento crucial
Lonely Night,Operative explicit open architecture,2008-2-10,3:20,Cancion melancolica para la escena triste
Happy Day,Devolved coherent software,2019-4-6,1:19,Melodia para la escena romantica
Love under the Night,Synergistic actuating project,2006-7-6,0:40,Pieza epica para el climax de la batalla
Heart to the Star,De-engineered modular system engine,2011-4-6,1:31,Musica calmada para el momento de reflexion
Happy Heart,Up-sized high-level encoding,2003-11-21,3:31,Cancion utilizada en el climax emocional
Sunset beyond the Day,Managed zero tolerance artificial intelligence,2017-2-28,0:16,Cancion de fondo durante la escena de lucha
Dark Sky,Intuitive 5thgeneration neural-net,2004-4-21,3:25,Melodia para la escena romantica
Happy Dream,Automated background secured line,2019-5-25,1:38,Cancion utilizada en el climax emocional
Sunset beyond the Sky,Re-contextualized asymmetric collaboration,2008-4-14,2:23,Pieza instrumental durante la escena de suspense
Dream in the Sunrise,Enterprise-wide directional intranet,2002-2-25,2:20,Musica reflexiva para la introspeccion del personaje
Day to the Dream,Centralized client-server superstructure,2020-4-12,1:46,Cancion energetica para la secuencia de persecucion
Sky for a Night,Universal zero tolerance implementation,2007-7-15,1:22,Melodia para la escena romantica
Last in the Moon,Advanced transitional archive,2017-12-19,1:60,Cancion de fondo durante la escena de lucha
Last Sky,Grass-roots intermediate project,2008-11-10,3:12,Musica reflexiva para la introspeccion del personaje
Star for a Love,Ameliorated fresh-thinking superstructure,2012-6-15,0:8,Cancion melancolica para la escena triste
Dark of the Night,Inverse homogeneous superstructure,2014-12-13,0:6,Cancion de fondo durante la escena de lucha
Beautiful in the Dream,Re-contextualized background database,2018-3-3,1:42,Musica de fondo para el dialogo intimo
Sunrise for a Love,Decentralized high-level artificial intelligence,2019-1-24,2:51,Cancion melancolica para la escena triste
Eternal Dream,Integrated high-level Graphic Interface,2014-9-23,0:44,Musica de fondo para el dialogo intimo
Sunset beyond the Day,Operative optimal ability,2009-11-25,2:42,Tematica heroica para el enfrentamiento final
Heart under the Dream,Configurable methodical Graphical User Interface,2019-6-7,2:50,Cancion energetica para la secuencia de persecucion
Happy Day,Cloned radical firmware,2015-12-9,3:12,Musica calmada para el momento de reflexion
Beautiful in the Day,Mandatory executive Internet solution,2020-6-3,3:40,Cancion con ritmo rapido para la accion intensa
Moon under the Sky,Robust motivating migration,2014-10-12,1:19,Musica para la escena de persecucion
Lonely Dream,Streamlined modular parallelism,2018-3-9,3:51,Cancion reproducida durante la escena de accion
Dream of the Heart,Operative disintermediate Graphical User Interface,2020-2-23,2:54,Musica de fondo para el dialogo intimo
Eternal in the Sunset,Operative radical benchmark,2011-4-4,1:22,Tematica heroica para el enfrentamiento final
Dream in the Sunrise,Open-architected 24/7 software,2014-8-10,3:59,Musica para la escena de persecucion
Happy Dream,Focused asynchronous software,2005-3-17,3:48,Musica de fondo para el dialogo intimo
Eternal Love,Progressive scalable frame,2003-8-1,2:4,Pieza epica para el climax de la batalla
Happy Dream,Exclusive intangible database,2009-9-28,2:20,Musica reflexiva para la introspeccion del personaje
Lonely Moon,Advanced attitude-oriented strategy,2010-9-4,2:23,Cancion utilizada en el climax emocional
Dream for a Moon,Grass-roots intermediate project,2005-10-6,3:47,Cancion de amor para el encuentro emotivo
Beautiful of the Sunrise,Cloned local functionalities,2018-7-2,1:24,Melodia para la escena romantica
Star of the Sunset,Self-enabling full-range encoding,2016-1-26,0:55,Cancion reproducida durante la escena de accion
Broken without a Moon,Devolved directional service-desk,2006-12-19,3:47,Tematica heroica para el enfrentamiento final
Day under the Night,Programmable holistic hierarchy,2018-3-26,3:58,Musica para la escena de persecucion
Broken Love,Down-sized eco-centric paradigm,2020-5-16,3:11,Cancion utilizada en el climax emocional
Love in the Moon,Operative context-sensitive concept,2012-7-6,3:16,Cancion reproducida durante la escena de accion
Eternal Night,Down-sized exuding groupware,2004-7-19,1:36,Cancion utilizada en el climax emocional
Lonely for a Dream,Organized zero tolerance Internet solution,2018-8-10,2:26,Cancion de fondo durante la escena de lucha
Lonely Night,Cross-group full-range throughput,2016-8-12,3:13,Cancion reproducida durante la escena de accion
Love in the Night,Reactive 4thgeneration approach,2008-8-18,1:52,Melodia para la escena romantica
Eternal Night,Decentralized high-level artificial intelligence,2016-8-12,0:5,Cancion con ritmo rapido para la accion intensa
Final to the Sunrise,Mandatory zero tolerance encoding,2019-12-4,3:45,Cancion utilizada en el climax emocional
Beautiful Sunset,Proactive full-range portal,2014-4-2,1:13,Musica de fondo para el dialogo intimo
Happy Day,Re-contextualized bandwidth-monitored workforce,2020-1-9,0:55,Cancion de amor para el encuentro emotivo
Final of the Night,Cross-group asymmetric portal,2007-10-7,0:22,Musica motivadora para la superacion del conflicto
Sky beyond the Star,Diverse 24/7 standardization,2010-3-16,3:4,Pieza epica para el climax de la batalla
Happy Moon,Synchronized tangible projection,2000-8-8,2:17,Musica reflexiva para la introspeccion del personaje
Bright of the Sunset,Intuitive local budgetary management,2013-12-12,3:37,Tematica instrumental para el desarrollo narrativo
Last Sky,Future-proofed exuding definition,2001-5-2,2:33,Cancion utilizada en el climax emocional
Sunrise for a Star,Versatile global utilization,2020-6-14,3:30,Pieza epica para el climax de la batalla
Eternal Heart,Customizable grid-enabled definition,2017-12-14,1:41,Cancion dramatica para el momento crucial
Love for a Sunrise,Customizable stable ability,2019-8-9,1:49,Cancion utilizada en el climax emocional
Eternal Heart,Programmable exuding implementation,2012-4-3,2:42,Musica para la escena de persecucion
First Sunrise,Diverse 24hour open architecture,2004-8-28,2:11,Pieza instrumental durante la escena de suspense
First under the Sunrise,Fully-configurable stable infrastructure,2020-11-2,0:2,Pieza epica para el climax de la batalla
Broken without a Heart,Multi-lateral composite process improvement,2020-6-16,1:18,Pieza epica para el climax de la batalla
Dark without a Moon,Persistent systematic conglomeration,2018-7-26,2:25,Musica para la escena de persecucion
Eternal Sunrise,Centralized client-server superstructure,2003-10-17,1:11,Musica para la escena de persecucion
Bright to the Sky,Compatible static utilization,2015-3-24,1:60,Musica motivadora para la superacion del conflicto
Lonely for a Star,Multi-lateral dedicated functionalities,2009-9-12,3:49,Melodia para la escena romantica
Day in the Love,Multi-tiered systemic success,2007-3-25,1:13,Cancion melancolica para la escena triste
Eternal without a Dream,Enterprise-wide 3rdgeneration process improvement,2016-4-12,1:3,Musica de fondo para el dialogo intimo
Happy Heart,Polarized disintermediate leverage,2020-7-4,0:39,Tematica instrumental para el desarrollo narrativo
First Sky,Face-to-face incremental framework,2014-6-8,2:57,Musica reflexiva para la introspeccion del personaje
Broken of the Star,Re-contextualized impactful flexibility,2003-9-6,1:2,Cancion de amor para el encuentro emotivo
Happy in the Star,Re-contextualized background database,2001-7-24,0:55,Cancion reproducida durante la escena de accion
Dark beyond the Day,Customizable stable ability,2016-6-17,0:27,Musica motivadora para la superacion del conflicto
Night under the Sky,Pre-emptive didactic customer loyalty,2007-2-18,3:34,Cancion melancolica para la escena triste
Last without a Heart,Front-line local Internet solution,2012-2-24,0:27,Cancion reproducida durante la escena de accion
Heart in the Sky,Compatible zero-defect encryption,2001-12-28,2:39,Musica para la escena de persecucion
Eternal Star,Up-sized actuating emulation,2007-11-18,1:14,Musica de fondo para el dialogo intimo
Sky in the Love,Operative system-worthy hub,2004-7-18,1:29,Cancion con ritmo rapido para la accion intensa
Bright in the Night,Face-to-face incremental framework,2003-8-3,3:11,Cancion de amor para el encuentro emotivo
Dark under the Star,Operative regional open system,2020-3-8,1:14,Cancion dramatica para el momento crucial
Sky of the Sky,Streamlined dedicated structure,2008-1-27,0:33,Cancion reproducida durante la escena de accion
Love in the Dream,Assimilated human-resource strategy,2019-9-2,0:6,Pieza instrumental durante la escena de suspense
Lonely of the Sunset,Devolved non-volatile open system,2004-5-12,1:20,Cancion de amor para el encuentro emotivo
Star under the Day,Profit-focused interactive strategy,2001-7-28,1:23,Musica calmada para el momento de reflexion
Bright beyond the Sunset,Cloned local functionalities,2018-8-20,0:48,Cancion dramatica para el momento crucial
Star in the Night,Reduced empowering customer loyalty,2017-12-20,1:53,Musica de fondo para el dialogo intimo
Lonely in the Sunrise,Customizable optimizing array,2019-3-25,3:5,Cancion reproducida durante la escena de accion
Happy Moon,Customizable zero-defect service-desk,2017-2-27,2:56,Cancion dramatica para el momento crucial
Heart to the Star,Re-engineered actuating budgetary management,2017-1-25,3:59,Cancion melancolica para la escena triste
Last Sky,Integrated human-resource function,2006-6-11,1:12,Musica calmada para el momento de reflexion
Sunrise under the Dream,Innovative zero-defect artificial intelligence,2015-10-25,1:3,Cancion melancolica para la escena triste
Eternal beyond the Love,Phased fresh-thinking matrix,2006-9-2,2:12,Cancion energetica para la secuencia de persecucion
Bright Day,Business-focused discrete model,2013-11-9,2:16,Cancion melancolica para la escena triste
Eternal Heart,Grass-roots well-modulated forecast,2006-9-16,1:58,Pieza epica para el climax de la batalla
Eternal without a Heart,Phased context-sensitive moratorium,2002-1-10,1:34,Tematica instrumental para el desarrollo narrativo
Bright Dream,Horizontal full-range encryption,2010-3-4,0:9,Tematica heroica para el enfrentamiento final
Sunset to the Dream,Pre-emptive static approach,2003-8-12,2:8,Cancion de fondo durante la escena de lucha
Bright of the Sunrise,Optional value-added extranet,2005-1-28,1:40,Tematica heroica para el enfrentamiento final
Lonely Night,Distributed non-volatile application,2007-3-2,2:57,Musica motivadora para la superacion del conflicto
Love of the Day,Upgradable tertiary application,2004-9-19,0:47,Pieza epica para el climax de la batalla
Lonely Night,Function-based system-worthy complexity,2010-4-1,2:49,Cancion nostalgica para el recuerdo del pasado
Lonely Sky,Programmable stable hardware,2008-8-27,3:4,Cancion utilizada en el climax emocional
Broken for a Heart,Public-key bottom-line frame,2002-7-13,3:22,Musica para la escena de persecucion
Final beyond the Sunset,Secured heuristic challenge,2005-5-22,0:5,Musica para la escena de persecucion
Night for a Day,Face-to-face optimizing project,2011-3-17,0:23,Pieza epica para el climax de la batalla
Dream under the Star,Reactive global implementation,2008-7-4,0:35,Melodia para la escena romantica
Star in the Star,Digitized full-range portal,2008-9-15,0:14,Melodia suave para la reconciliacion
Love for a Day,Vision-oriented tangible flexibility,2004-12-11,2:37,Musica calmada para el momento de reflexion
Sunset for a Star,Open-architected context-sensitive approach,2016-5-23,3:34,Cancion de amor para el encuentro emotivo
Dark Love,Horizontal fresh-thinking interface,2011-9-19,2:42,Pieza instrumental durante la escena de suspense
Eternal without a Dream,Extended solution-oriented analyzer,2014-3-23,0:26,Pieza instrumental durante la escena de suspense
Eternal Sunset,Function-based encompassing capacity,2002-10-23,3:29,Tematica heroica para el enfrentamiento final
Dark Love,Digitized mobile neural-net,2007-10-28,0:43,Musica para la escena de persecucion
Bright in the Love,Stand-alone 24/7 moratorium,2001-7-12,2:2,Cancion con ritmo rapido para la accion intensa
Final Heart,Programmable real-time frame,2000-4-24,0:22,Musica de fondo para el dialogo intimo
Beautiful for a Moon,Reverse-engineered fresh-thinking extranet,2011-8-11,1:52,Pieza instrumental durante la escena de suspense
Beautiful Moon,Object-based non-volatile paradigm,2006-1-8,1:25,Pieza instrumental durante la escena de suspense
First Sunrise,Business-focused executive parallelism,2020-12-2,1:34,Melodia suave para la reconciliacion
Broken under the Sunrise,Grass-roots interactive throughput,2019-2-6,0:49,Cancion dramatica para el momento crucial
Beautiful Dream,Fundamental human-resource leverage,2004-1-28,0:21,Cancion melancolica para la escena triste
Night for a Sunrise,Secured directional functionalities,2011-8-1,3:56,Cancion energetica para la secuencia de persecucion
Beautiful Moon,Re-contextualized bandwidth-monitored workforce,2014-6-17,3:17,Cancion energetica para la secuencia de persecucion
Lonely Night,Reduced actuating application,2017-4-20,1:56,Musica de fondo para el dialogo intimo
Sunrise to the Dream,Reduced multi-state system engine,2004-1-11,3:28,Musica de fondo para el dialogo intimo
Sunrise for a Love,Networked optimizing contingency,2005-4-15,2:14,Tematica instrumental para el desarrollo narrativo
Eternal beyond the Night,Managed value-added interface,2014-1-4,1:6,Cancion energetica para la secuencia de persecucion
Eternal Sky,Extended coherent neural-net,2015-6-14,2:9,Cancion melancolica para la escena triste
Beautiful to the Sunrise,Implemented zero tolerance knowledgebase,2007-7-1,3:17,Cancion utilizada en el climax emocional
Final for a Sunset,Digitized executive task-force,2017-5-22,2:52,Musica de fondo para el dialogo intimo
Last Sky,Cloned radical firmware,2004-7-7,3:46,Cancion con ritmo rapido para la accion intensa
Beautiful without a Day,Centralized client-server focus group,2009-8-16,1:44,Musica calmada para el momento de reflexion
Heart in the Day,Operative optimal ability,2007-10-6,1:18,Tematica instrumental para el desarrollo narrativo
Sunrise for a Love,Devolved well-modulated approach,2009-9-6,0:32,Musica de fondo para el dialogo intimo
Broken Heart,Universal demand-driven encryption,2009-2-12,0:13,Pieza instrumental durante la escena de suspense
Lonely Moon,Multi-channeled 24/7 projection,2007-5-19,1:48,Musica para la escena de persecucion
Bright of the Day,Seamless encompassing encoding,2016-8-27,1:53,Cancion de fondo durante la escena de lucha
Dark for a Moon,Vision-oriented impactful algorithm,2014-9-24,0:39,Pieza instrumental durante la escena de suspense
Broken to the Day,Synergized clear-thinking Graphical User Interface,2001-11-23,2:10,Tematica instrumental para el desarrollo narrativo
Beautiful of the Sunrise,Synchronized radical paradigm,2016-6-4,2:13,Cancion con ritmo rapido para la accion intensa
Last in the Dream,Assimilated human-resource strategy,2020-7-27,1:53,Melodia suave para la reconciliacion
Sunset in the Love,Enhanced 3rdgeneration attitude,2020-1-4,1:14,Pieza epica para el climax de la batalla
Star without a Day,Optional systemic standardization,2008-10-7,1:58,Musica para la escena de persecucion
Bright beyond the Heart,Mandatory optimal toolset,2008-8-12,2:49,Cancion de amor para el encuentro emotivo
Bright Dream,Re-engineered background array,2016-9-8,3:54,Tematica instrumental para el desarrollo narrativo
Broken Sky,Exclusive bottom-line instruction set,2019-7-23,0:52,Cancion melancolica para la escena triste
Love in the Dream,Open-source intangible capacity,2003-6-22,2:16,Musica motivadora para la superacion del conflicto
Broken for a Dream,Fundamental heuristic array,2016-7-8,0:58,Melodia suave para la reconciliacion
Eternal Heart,Programmable encompassing support,2006-4-6,1:56,Musica calmada para el momento de reflexion
Broken in the Love,Open-architected clear-thinking intranet,2000-11-27,1:18,Cancion con ritmo rapido para la accion intensa
Moon to the Heart,Networked disintermediate success,2009-3-27,2:15,Cancion reproducida durante la escena de accion
Sunrise without a Sunset,Team-oriented empowering matrix,2011-10-23,3:45,Musica reflexiva para la introspeccion del personaje
Dark in the Night,Fully-configurable homogeneous forecast,2020-9-13,1:26,Tematica instrumental para el desarrollo narrativo
Lonely Night,Compatible holistic service-desk,2010-8-23,2:23,Cancion dramatica para el momento crucial
Love under the Star,Organized directional archive,2004-4-14,3:48,Tematica instrumental para el desarrollo narrativo
Happy Moon,Programmable holistic hierarchy,2018-9-14,2:6,Musica reflexiva para la introspeccion del personaje
Beautiful Day,Streamlined foreground conglomeration,2017-12-28,1:31,Musica motivadora para la superacion del conflicto
Final Dream,Visionary logistical utilization,2005-8-4,1:24,Cancion energetica para la secuencia de persecucion
Beautiful Heart,Inverse coherent knowledgebase,2018-6-21,2:50,Musica de fondo para el dialogo intimo
Dark Heart,Diverse 24/7 standardization,2010-8-9,3:32,Musica de fondo para el dialogo intimo
Sunset for a Sunset,Visionary full-range superstructure,2001-2-18,1:36,Pieza instrumental durante la escena de suspense
Happy to the Moon,Fully-configurable global concept,2014-4-13,1:45,Musica de fondo para el dialogo intimo
Last Heart,Profit-focused intermediate support,2012-10-1,2:9,Melodia para la escena romantica
Dark to the Sunset,Re-engineered uniform customer loyalty,2003-5-19,0:17,Musica para la escena de persecucion
Night in the Day,Universal neutral Local Area Network,2020-12-6,0:47,Melodia suave para la reconciliacion
Night for a Day,Streamlined didactic superstructure,2017-8-12,2:6,Cancion de amor para el encuentro emotivo
Dream of the Day,Cross-platform 3rdgeneration functionalities,2019-11-1,0:3,Cancion melancolica para la escena triste
Happy Heart,User-friendly logistical frame,2011-1-28,0:49,Melodia para la escena romantica
Last of the Day,Re-contextualized radical productivity,2015-3-19,1:38,Musica motivadora para la superacion del conflicto
Final under the Dream,Operative attitude-oriented product,2006-7-2,0:8,Musica motivadora para la superacion del conflicto
Beautiful Star,Universal responsive definition,2000-5-21,2:17,Tematica instrumental para el desarrollo narrativo
Love in the Night,Sharable client-server project,2004-8-5,3:35,Musica para la escena de persecucion
Beautiful of the Love,Function-based transitional open architecture,2004-5-2,2:25,Cancion reproducida durante la escena de accion
Last for a Night,Front-line demand-driven system engine,2012-7-28,0:20,Musica para la escena de persecucion
Dream under the Dream,Secured directional functionalities,2011-3-5,3:20,Musica reflexiva para la introspeccion del personaje
Eternal to the Dream,Networked empowering task-force,2020-5-3,0:6,Cancion nostalgica para el recuerdo del pasado
Dark Night,Persistent contextually-based process improvement,2011-4-23,1:38,Cancion de fondo durante la escena de lucha
Heart in the Dream,Synergistic systematic secured line,2010-5-10,1:49,Cancion reproducida durante la escena de accion
Sunset to the Heart,Open-architected optimal standardization,2002-5-8,3:2,Melodia suave para la reconciliacion
Sunrise to the Sunrise,Integrated zero-defect synergy,2003-10-2,0:56,Cancion de fondo durante la escena de lucha
Final Dream,Realigned systemic info-mediaries,2015-3-9,3:43,Musica para la escena de persecucion
Bright to the Star,Inverse maximized definition,2002-1-17,1:20,Cancion reproducida durante la escena de accion
Broken under the Night,Future-proofed 5thgeneration task-force,2008-11-6,2:26,Cancion utilizada en el climax emocional
Happy Night,Polarized stable software,2010-1-4,1:14,Musica calmada para el momento de reflexion
Eternal Moon,Visionary 24/7 capability,2003-6-28,2:5,Tematica instrumental para el desarrollo narrativo
Sunset of the Sky,Reactive 24hour system engine,2019-4-13,0:54,Melodia suave para la reconciliacion
Sky for a Day,Enhanced needs-based firmware,2011-5-19,0:52,Tematica heroica para el enfrentamiento final
Eternal Dream,Sharable composite info-mediaries,2007-7-13,2:26,Musica de fondo para el dialogo intimo
Star to the Day,Grass-roots well-modulated forecast,2001-10-28,0:56,Pieza instrumental durante la escena de suspense
Broken Dream,Fundamental well-modulated moderator,2002-10-21,0:11,Musica de fondo para el dialogo intimo
Dark in the Dream,Decentralized well-modulated function,2002-6-12,0:24,Cancion energetica para la secuencia de persecucion
Last Day,Front-line attitude-oriented project,2002-6-11,2:5,Cancion energetica para la secuencia de persecucion
Broken Dream,Implemented eco-centric productivity,2014-1-27,2:45,Musica de fondo para el dialogo intimo
Happy Night,User-friendly 24hour definition,2012-11-22,1:60,Tematica instrumental para el desarrollo narrativo
First in the Star,Balanced bottom-line artificial intelligence,2014-2-18,0:59,Cancion con ritmo rapido para la accion intensa
Happy Love,Reverse-engineered local artificial intelligence,2012-5-9,0:23,Tematica heroica para el enfrentamiento final
Last Heart,Synchronized tangible projection,2001-8-17,3:12,Cancion utilizada en el climax emocional
Sunrise beyond the Sunrise,Intuitive clear-thinking application,2004-12-17,0:52,Pieza epica para el climax de la batalla
Sky of the Star,Organized clear-thinking policy,2019-11-11,3:55,Pieza instrumental durante la escena de suspense
Final without a Moon,Operative zero administration structure,2005-10-6,3:36,Cancion energetica para la secuencia de persecucion
Broken Moon,Digitized full-range portal,2012-1-28,0:54,Musica reflexiva para la introspeccion del personaje
Night beyond the Day,Operative maximized capability,2012-10-15,0:45,Musica de fondo para el dialogo intimo
Moon in the Heart,Multi-channeled solution-oriented service-desk,2018-12-2,1:48,Cancion melancolica para la escena triste
Final Day,Pre-emptive didactic customer loyalty,2002-1-8,1:5,Musica motivadora para la superacion del conflicto
Final without a Star,Streamlined system-worthy architecture,2004-5-18,0:10,Musica motivadora para la superacion del conflicto
Broken Sunset,Persistent homogeneous artificial intelligence,2001-9-23,2:12,Tematica instrumental para el desarrollo narrativo
Dark Dream,Object-based eco-centric hardware,2006-1-11,1:35,Cancion de fondo durante la escena de lucha
Heart of the Day,Public-key context-sensitive circuit,2014-12-5,2:36,Melodia suave para la reconciliacion
First in the Star,Secured non-volatile extranet,2017-4-7,3:47,Tematica heroica para el enfrentamiento final
Star in the Night,De-engineered zero tolerance algorithm,2020-4-12,0:34,Musica calmada para el momento de reflexion
Broken Star,Optimized attitude-oriented parallelism,2012-11-20,3:17,Tematica instrumental para el desarrollo narrativo
Star in the Moon,Devolved transitional access,2016-3-7,0:41,Musica de fondo para el dialogo intimo
Day in the Star,Enhanced needs-based firmware,2004-11-24,0:21,Musica para la escena de persecucion
Dark under the Star,Persevering 6thgeneration paradigm,2008-11-20,1:26,Cancion dramatica para el momento crucial
Broken without a Day,Implemented holistic array,2011-4-27,1:40,Cancion nostalgica para el recuerdo del pasado
Beautiful to the Moon,Cross-platform holistic leverage,2015-11-19,3:1,Cancion de fondo durante la escena de lucha
Night to the Day,Optional 5thgeneration strategy,2003-12-17,0:11,Cancion de amor para el encuentro emotivo
Sunrise in the Night,Team-oriented empowering matrix,2005-6-17,3:26,Musica reflexiva para la introspeccion del personaje
Day in the Day,Realigned motivating throughput,2008-7-14,2:56,Cancion energetica para la secuencia de persecucion
Dark for a Moon,Persistent client-server artificial intelligence,2011-11-22,1:50,Cancion nostalgica para el recuerdo del pasado
Night without a Day,Mandatory systematic firmware,2018-2-13,1:40,Cancion con ritmo rapido para la accion intensa
First Heart,Cloned zero administration conglomeration,2019-12-7,3:47,Cancion energetica para la secuencia de persecucion
Last Star,Persistent heuristic strategy,2018-3-19,0:29,Pieza epica para el climax de la batalla
Star of the Dream,Integrated 24hour adapter,2007-2-6,1:21,Pieza epica para el climax de la batalla
Day for a Sunrise,Pre-emptive multi-state benchmark,2014-4-3,3:5,Melodia para la escena romantica
Sky in the Heart,Multi-tiered neutral database,2003-4-28,1:55,Musica motivadora para la superacion del conflicto
